School_Year	State	Cares_Act_Revenue_ESSER	Cares_Act_Revenues_GEER	CARES_Act_Revenues_ESF-RWP 	CARES_Act_Revenues_Coronavirus_Relief_Fund	CARES_Act_Revenues_ESF_Outlying_Areas-SEA	CARES Act Revenues ESF Outlying Areas-GOV 	Current Expenditures from COVID-19 Federal Assistance Funds	Instructional Expenditures from COVID-19 Federal Assistance Funds 	Support Services Expenditures from COVID-19 Federal Assistance Fund	Capital Outlay Expenditures from COVID-19 Federal Assistance Funds	Technology Supplies & Purchased Services Expenditures from COVID-19 Federal Assistance Funds	Technology Equipment Expenditures from COVID-19 Federal Assistance Funds	"Support Services, Operations & Maintenance Expenditures from COVID-19 Federal Assistance Funds "	Food Services Operations Expenditures from COVID-19 Federal Assistance Funds
2021	AL	111495666	26418137	-2	91971908	-2	-2	415765453	266301941	149057201	12266460	126083583	655058	34281512	406311
2021	AK	28902699	2335819	0	9718039	-2	-2	62211744	35701671	26072602	721442	-1	-1	6246986	437471
2021	AZ	188051655	2648463	-2	362020845	-2	-2	817474238	504506883	298106580	133949385	128262630	5277789	133677511	14824810
2021	AR	102366833	0	-2	24915703	-2	-2	318168505	147587270	123317526	31800838	76776425	18685400	29510305	12235540
2021	CA	1212370224	237255570	-1	4261365259	-2	-2	5832070889	3244408379	2373879509	255588453	-1	-1	641573645	202120673
2021	CO	104582311	8650711	-2	482534756	-2	-2	750238074	455223510	282208032	26941464	19907473	1796946	59510464	9774578
2021	CT	69465976	5679893	-2	131472008	-2	-2	222763139	-2	-2	38250641	-2	-2	-2	57213962
2021	DE	36439448	396246	-2	0	-2	-2	39138196	13116497	23190465	12669689	8079529	9693218	6586995	-1
2021	DC	26520853	0	-2	-2	-2	-2	40576851	8137813	19019196	37698947	2485360	27615493	1542214	231741
2021	FL	546935502	-2	-2	-2	-2	-2	1106166278	565338847	536008949	23752756	160808484	12266864	197693693	4818482
2021	GA	382908770	-2	-2	2507312	-2	-2	1153375827	676444860	402769591	882660	159526139	394107	161659891	74156874
2021	HI	24955000	0	0	47100000	-2	-2	119855393	41475052	51970011	21487499	3956877	-9	41242711	26410330
2021	ID	38714807	-2	-2	68636571	-2	-2	125105592	62356873	61804009	16402921	12806807	4339273	14355576	672216
2021	IL	366664910	36204699	-2	-2	-2	-2	942985504	542516479	246889508	134869648	121143117	48863927	73502183	153579517
2021	IN	113925224	25838605	0	0	-2	-2	296862718	174100587	120063812	9621341	81149407	1108386	34532932	2474417
2021	IA	41671424	16861128	-2	5411731	-2	-2	251186682	131178561	80199407	55897354	18526655	45266638	28552434	39528884
2021	KS	63293438	-2	-2	78459109	-2	-2	85841008	55993558	25763050	55486813	12128071	35656816	20051113	4084400
2021	KY	150746554	21126420	0	135351330	-2	-2	422030322	260164751	138246604	72408259	62951049	60741421	53426293	23618967
2021	LA	208980164	31844576	-2	-2	-2	-2	363788360	256561439	103826078	3513781	105596402	2002456	24297119	3400843
2021	ME	17562765	0	-2	274794595	-2	-2	221869160	76757205	140891267	116960139	30350030	40100856	75637978	4220688
