B013801,B013801,B034501,B034501,B034601,B034601,B034903,B034903,B035002,B035002,B035101,B035101,B035201,B035201,value
0-10 books,0-10 books,Never,Never,Yes,Yes,Not at all like me,Not at all like me,Never or hardly ever,Never or hardly ever,Not at all like me,Not at all like me,Never or hardly ever,Never or hardly ever,201.360839183749
11-25 books,11-25 books,Never,Never,Yes,Yes,Not at all like me,Not at all like me,Never or hardly ever,Never or hardly ever,Not at all like me,Not at all like me,Never or hardly ever,Never or hardly ever,211.640323094746
11-25 books,11-25 books,Never,Never,Yes,Yes,A little bit like me,A little bit like me,Less than half of the time,Less than half of the time,Not at all like me,Not at all like me,Never or hardly ever,Never or hardly ever,216.976513748331
26-100 books,26-100 books,Never,Never,Yes,Yes,Somewhat like me,Somewhat like me,Less than half of the time,Less than half of the time,Not at all like me,Not at all like me,Never or hardly ever,Never or hardly ever,233.351911667371
26-100 books,26-100 books,Never,Never,Yes,Yes,Somewhat like me,Somewhat like me,About half of the time,About half of the time,A little bit like me,A little bit like me,Never or hardly ever,Never or hardly ever,259.182279224623
26-100 books,26-100 books,Never,Never,Yes,Yes,Somewhat like me,Somewhat like me,About half of the time,About half of the time,Somewhat like me,Somewhat like me,Never or hardly ever,Never or hardly ever,255.292669769674
More than 100 books,More than 100 books,Never,Never,Yes,Yes,Somewhat like me,Somewhat like me,About half of the time,About half of the time,Somewhat like me,Somewhat like me,Never or hardly ever,Never or hardly ever,254.053078034977
26-100 books,26-100 books,Never,Never,Yes,Yes,Somewhat like me,Somewhat like me,More than half of the time,More than half of the time,A little bit like me,A little bit like me,Never or hardly ever,Never or hardly ever,245.486608988716
26-100 books,26-100 books,Never,Never,Yes,Yes,Somewhat like me,Somewhat like me,More than half of the time,More than half of the time,Somewhat like me,Somewhat like me,Never or hardly ever,Never or hardly ever,260.655097908549
26-100 books,26-100 books,Never,Never,Yes,Yes,Somewhat like me,Somewhat like me,More than half of the time,More than half of the time,Very much like me,Very much like me,Never or hardly ever,Never or hardly ever,274.012259868742
More than 100 books,More than 100 books,Never,Never,Yes,Yes,Somewhat like me,Somewhat like me,More than half of the time,More than half of the time,Very much like me,Very much like me,Never or hardly ever,Never or hardly ever,276.943959111311
26-100 books,26-100 books,Never,Never,Yes,Yes,Quite a bit like me,Quite a bit like me,About half of the time,About half of the time,Not at all like me,Not at all like me,Never or hardly ever,Never or hardly ever,245.855302644836
26-100 books,26-100 books,Never,Never,Yes,Yes,Quite a bit like me,Quite a bit like me,About half of the time,About half of the time,A little bit like me,A little bit like me,Never or hardly ever,Never or hardly ever,252.487281986811
11-25 books,11-25 books,Never,Never,Yes,Yes,Quite a bit like me,Quite a bit like me,About half of the time,About half of the time,Somewhat like me,Somewhat like me,Never or hardly ever,Never or hardly ever,236.991728529891
26-100 books,26-100 books,Never,Never,Yes,Yes,Quite a bit like me,Quite a bit like me,About half of the time,About half of the time,Somewhat like me,Somewhat like me,Never or hardly ever,Never or hardly ever,252.254623103203
More than 100 books,More than 100 books,Never,Never,Yes,Yes,Quite a bit like me,Quite a bit like me,About half of the time,About half of the time,Somewhat like me,Somewhat like me,Never or hardly ever,Never or hardly ever,262.663413010582
26-100 books,26-100 books,Never,Never,Yes,Yes,Quite a bit like me,Quite a bit like me,About half of the time,About half of the time,Quite a bit like me,Quite a bit like me,Never or hardly ever,Never or hardly ever,262.352216953837
