T122201,T126008,T132801,T132802,T132803,T139901,TNSTUDM,value
11-20 years,Major,A little possible,Quite possible,Quite possible,Yes,26-30 students,235.036630596149
11-20 years,Major,A little possible,Quite possible,Quite possible,Tenure not awarded,26-30 students,236.151272345953
21 or more years,Major,A little possible,Completely possible,Quite possible,Yes,21-25 students,257.378672020539
11-20 years,Major,A little possible,Completely possible,Completely possible,Yes,21-25 students,244.168852758588
11-20 years,Major,A little possible,Completely possible,Completely possible,Yes,26-30 students,253.421495150501
11-20 years,Major,A little possible,Completely possible,Completely possible,Tenure not awarded,21-25 students,259.334318701899
11-20 years,Major,Somewhat possible,Somewhat possible,Somewhat possible,Yes,21-25 students,250.977878483935
21 or more years,Major,Somewhat possible,Somewhat possible,Somewhat possible,Yes,21-25 students,243.142468216217
11-20 years,Major,Somewhat possible,Somewhat possible,Somewhat possible,Yes,26-30 students,228.519611447192
6-10 years,Major,Somewhat possible,Somewhat possible,Somewhat possible,No,21-25 students,241.829084089575
11-20 years,Major,Somewhat possible,Somewhat possible,Somewhat possible,Tenure not awarded,21-25 students,248.333190957965
11-20 years,Major,Somewhat possible,Quite possible,Quite possible,Yes,19-20 students,245.650837825003
11-20 years,Major,Somewhat possible,Quite possible,Quite possible,Yes,21-25 students,244.746983242984
21 or more years,Major,Somewhat possible,Quite possible,Quite possible,Yes,21-25 students,250.636542574213
11-20 years,Major,Somewhat possible,Quite possible,Quite possible,Yes,26-30 students,248.402057948046
21 or more years,Major,Somewhat possible,Quite possible,Quite possible,Yes,26-30 students,245.933220401906
3-5 years,Major,Somewhat possible,Quite possible,Quite possible,No,21-25 students,248.744243635342
11-20 years,Major,Somewhat possible,Quite possible,Quite possible,Tenure not awarded,21-25 students,241.873884929439
21 or more years,Major,Somewhat possible,Quite possible,Quite possible,Tenure not awarded,21-25 students,242.7614797867
11-20 years,Major,Somewhat possible,Quite possible,Quite possible,Tenure not awarded,26-30 students,249.129202486211
11-20 years,Major,Somewhat possible,Completely possible,Quite possible,Yes,21-25 students,244.568471448399
21 or more years,Major,Somewhat possible,Completely possible,Quite possible,Yes,21-25 students,250.197948410479
11-20 years,Major,Somewhat possible,Completely possible,Quite possible,Yes,26-30 students,242.558686095115
21 or more years,Major,Somewhat possible,Completely possible,Quite possible,Yes,26-30 students,246.794866568806
6-10 years,Major,Somewhat possible,Completely possible,Quite possible,Tenure not awarded,21-25 students,242.783650014806
11-20 years,Major,Somewhat possible,Completely possible,Quite possible,Tenure not awarded,21-25 students,243.528592389674
21 or more years,Major,Somewhat possible,Completely possible,Quite possible,Tenure not awarded,21-25 students,249.728749301417
11-20 years,Major,Somewhat possible,Completely possible,Completely possible,Yes,16-18 students,242.194792159827
11-20 years,Major,Somewhat possible,Completely possible,Completely possible,Yes,19-20 students,249.709185266478
3-5 years,Major,Somewhat possible,Completely possible,Completely possible,Yes,21-25 students,230.034234162564
6-10 years,Major,Somewhat possible,Completely possible,Completely possible,Yes,21-25 students,257.092627056202
11-20 years,Major,Somewhat possible,Completely possible,Completely possible,Yes,21-25 students,240.830317643024
21 or more years,Major,Somewhat possible,Completely possible,Completely possible,Yes,21-25 students,249.180183314092
6-10 years,Major,Somewhat possible,Completely possible,Completely possible,Yes,26-30 students,240.584678997525
11-20 years,Major,Somewhat possible,Completely possible,Completely possible,Yes,26-30 students,238.874315319345
21 or more years,Major,Somewhat possible,Completely possible,Completely possible,Yes,26-30 students,242.418780666329
1-2 years,Major,Somewhat possible,Completely possible,Completely possible,No,21-25 students,237.821183209128
3-5 years,Major,Somewhat possible,Completely possible,Completely possible,No,21-25 students,228.357369006741
6-10 years,Major,Somewhat possible,Completely possible,Completely possible,No,21-25 students,251.236226502489
11-20 years,Major,Somewhat possible,Completely possible,Completely possible,No,21-25 students,249.907217980429
3-5 years,Major,Somewhat possible,Completely possible,Completely possible,No,26-30 students,240.725776752465
21 or more years,Major,Somewhat possible,Completely possible,Completely possible,Tenure not awarded,19-20 students,248.47393266385
3-5 years,Major,Somewhat possible,Completely possible,Completely possible,Tenure not awarded,21-25 students,240.958762347689
6-10 years,Major,Somewhat possible,Completely possible,Completely possible,Tenure not awarded,21-25 students,254.653860284211
11-20 years,Major,Somewhat possible,Completely possible,Completely possible,Tenure not awarded,21-25 students,238.347279998956
21 or more years,Major,Somewhat possible,Completely possible,Completely possible,Tenure not awarded,21-25 students,245.770457294684
6-10 years,Major,Somewhat possible,Completely possible,Completely possible,Tenure not awarded,26-30 students,240.516680193158
11-20 years,Major,Somewhat possible,Completely possible,Completely possible,Tenure not awarded,26-30 students,243.396942317471
11-20 years,Major,Quite possible,Quite possible,Quite possible,Yes,16-18 students,243.909682373501
21 or more years,Major,Quite possible,Quite possible,Quite possible,Yes,16-18 students,234.384031828597
6-10 years,Major,Quite possible,Quite possible,Quite possible,Yes,19-20 students,242.955846956613
11-20 years,Major,Quite possible,Quite possible,Quite possible,Yes,19-20 students,239.539684184779
21 or more years,Major,Quite possible,Quite possible,Quite possible,Yes,19-20 students,244.154724391508
6-10 years,Major,Quite possible,Quite possible,Quite possible,Yes,21-25 students,246.536091152824
11-20 years,Major,Quite possible,Quite possible,Quite possible,Yes,21-25 students,244.720706273263
21 or more years,Major,Quite possible,Quite possible,Quite possible,Yes,21-25 students,247.633847079357
6-10 years,Major,Quite possible,Quite possible,Quite possible,Yes,26-30 students,247.717374050549
11-20 years,Major,Quite possible,Quite possible,Quite possible,Yes,26-30 students,246.634825934753
21 or more years,Major,Quite possible,Quite possible,Quite possible,Yes,26-30 students,239.188962261569
6-10 years,Major,Quite possible,Quite possible,Quite possible,Yes,31 or more students,244.79116818755
11-20 years,Major,Quite possible,Quite possible,Quite possible,Yes,31 or more students,242.549060492728
3-5 years,Major,Quite possible,Quite possible,Quite possible,No,21-25 students,242.338571770096
6-10 years,Major,Quite possible,Quite possible,Quite possible,No,21-25 students,241.44555621057
11-20 years,Major,Quite possible,Quite possible,Quite possible,No,21-25 students,246.011893748308
3-5 years,Major,Quite possible,Quite possible,Quite possible,No,26-30 students,243.420505895651
11-20 years,Major,Quite possible,Quite possible,Quite possible,No,26-30 students,235.458106899501
11-20 years,Major,Quite possible,Quite possible,Quite possible,No,31 or more students,244.712170368731
11-20 years,Major,Quite possible,Quite possible,Quite possible,Tenure not awarded,19-20 students,243.833150460907
3-5 years,Major,Quite possible,Quite possible,Quite possible,Tenure not awarded,21-25 students,249.258895657382
6-10 years,Major,Quite possible,Quite possible,Quite possible,Tenure not awarded,21-25 students,248.096176914151
11-20 years,Major,Quite possible,Quite possible,Quite possible,Tenure not awarded,21-25 students,238.19822899707
21 or more years,Major,Quite possible,Quite possible,Quite possible,Tenure not awarded,21-25 students,255.523941434954
6-10 years,Major,Quite possible,Quite possible,Quite possible,Tenure not awarded,26-30 students,243.352834110852
11-20 years,Major,Quite possible,Quite possible,Quite possible,Tenure not awarded,26-30 students,237.320408165674
21 or more years,Major,Quite possible,Quite possible,Quite possible,Tenure not awarded,26-30 students,244.107618504114
11-20 years,Major,Quite possible,Quite possible,Quite possible,Tenure not awarded,31 or more students,234.933729950716
21 or more years,Major,Quite possible,Completely possible,Quite possible,Yes,19-20 students,243.664632489246
11-20 years,Major,Quite possible,Completely possible,Quite possible,Yes,21-25 students,249.951721267092
21 or more years,Major,Quite possible,Completely possible,Quite possible,Yes,21-25 students,247.913706505093
6-10 years,Major,Quite possible,Completely possible,Quite possible,Yes,26-30 students,256.412494039948
11-20 years,Major,Quite possible,Completely possible,Quite possible,Yes,26-30 students,240.214977495408
21 or more years,Major,Quite possible,Completely possible,Quite possible,Yes,26-30 students,260.055277574133
3-5 years,Major,Quite possible,Completely possible,Quite possible,No,21-25 students,231.081916956402
11-20 years,Major,Quite possible,Completely possible,Quite possible,Tenure not awarded,21-25 students,249.575112521066
21 or more years,Major,Quite possible,Completely possible,Quite possible,Tenure not awarded,21-25 students,250.702009776283
6-10 years,Major,Quite possible,Completely possible,Quite possible,Tenure not awarded,26-30 students,226.029025845236
6-10 years,Major,Quite possible,Completely possible,Completely possible,Yes,16-18 students,250.454434326323
11-20 years,Major,Quite possible,Completely possible,Completely possible,Yes,16-18 students,242.085738298815
21 or more years,Major,Quite possible,Completely possible,Completely possible,Yes,16-18 students,244.000986973426
